"","Names","Change_31","Change_1043","Change_1061","Change_1258","Change_1279","Change_1287","Change_1299","Change_1304","Change_1327","Change_1332","Change_1337","Change_1344","Change_1349","Change_1354","Change_1379","Change_1384","Change_1409","Change_1432","Change_1438","Change_1443","Change_1449","Change_1454","Change_1459","Change_1464","Change_1469","Change_1474","Change_1479","Change_1487","Change_1492","Change_1497","Change_1502","Change_1507","Change_1512","Change_1517","Change_1522","Change_1527","Change_1541","Change_1546","Change_1551","Change_1557","Change_1562","Change_1567","Change_1572","Change_1577","Change_1582","Change_1587","Change_1592","Change_1622","Change_1627","Change_1632","Change_1637","Change_1642","Change_1647","Change_1652","Change_1657","Change_1662","Change_1674","Change_2919","Change_2966","Change_2971","Change_3014","Change_3019","Change_3024","Change_3029","Change_3049","Change_3054","Change_3059","Change_3064","Change_3069","Change_3075","Change_3080","Change_3090","Change_3095","Change_3100","Change_3111","Change_3126","Change_3134","Change_3139","Change_3144","Change_3149","Change_3154","Change_3159","Change_3164","Change_3169","Change_3174","Change_3179","Change_3238","Change_3344","Change_3370","Change_3402","Change_3407","Change_3422","Change_3427","Change_3451","Change_3456","Change_3461","Change_3466","Change_3471","Change_3476","Change_3481","Change_3487","Change_3522","Change_3532","Change_3851","Change_3910","Change_3921","Change_3930","Change_3946","Change_4045","Change_4050","Change_4056","Change_4061","Change_4066","Change_4149"
"1",1,81.5205327413984,17.2948473282443,4.74934036939315,5.58536585365854,4.44659255679072,0.745013217976462,-0.208279093985941,0,-4.55629770992366,0.796096558808415,11.9268292682927,20.8539442853424,4.40539239287433,1.10550348473925,6.24849795722184,5.28202676864245,0,7.43902439024392,1.0932944606414,-4.93551587301587,7.85734187796044,9.55697966007244,1.20256547300908,1.44296215627552,0,1.36633152874452,-2.17842323651452,-4.56500956022945,-2.0408163265306,-0.918318028032872,-1.70677112479015,6.26587637595258,-6.68292682926828,-4.67463479415671,-2.8224808120822,0,-2.6387176325524,-4.98687664041995,1.3496625843539,2.01058201058201,0,-3.24727175938249,3.03433590630822,-3.25226244343892,11.6253743533896,0,5.20400684094796,1.91387559808611,2.27272727272726,1.41070002661698,4.85872722471614,-0.670749489647118,8.59375,-1.48229481196815,0,-6.58697863682604,8.18225190839695,4.83720928197789,-4.79386384725417,-1.30963517994081,1.46386095131447,0.94786730717482,0.746965474353371,-2.85986654008558,-11.6558741795945,-0.940733756242164,-0.764087866996282,0,0.410256408574282,9.32944607765761,-1.18460019260519,-1.76643768948229,3.72285417282023,4.25943853691013,-5.50964187513503,2.75482093756751,2.30105464064993,2.57116622123475,-1.94741968638628,-9.68036529273712,-0.855614969843642,-4.67587673553086,-4.72610094773943,-0.632244479096472,18.5663924806667,10.426540279532,9.84503191358262,5.38860104184323,26.5140289893617,-2.93832057457068,3.89978653646283,0.374211299415622,6.53315470353438,1.10380120484833,-0.381345555050206,0.385758776896944,2.44192677420106,-3.81147702622756,-2.65927784748361,-3.09937104513565,-1.22084883395335,1.27631000401459,0.184686734506179,1.85347152373873,7.4887062524389,3.2473791872288,-6.73727819309847,6.56048232554026,-2.10517865922797,0.958848677844424,11.4676000937503,3.67290050334481,3.84207566648108,-2.00905415013801
"2",2,77.0532741398446,17.2948473282443,12.0892300311825,0.756097560975624,3.33494441759304,1.29776496034608,3.77505857849518,10.4832321098495,-5.65362595419848,-4.49409347714433,3.36585365853661,8.92996615464723,3.49061145883487,6.96947849074742,4.7825042057198,4.20650095602295,14.8157370517928,7.82926829268294,-0.753158406219623,5.2827380952381,5.09891334633602,6.60351072722207,3.04649919828968,1.2523822488429,3.914686825054,3.53183810260376,-3.7603734439834,-5.83173996175909,-5.00485908649173,-0.918318028032872,-4.92445439283715,4.74174428450465,-12.8292682926829,-8.12749003984064,-1.13889576627878,11.1661883642056,-5.64734895191121,-2.20472440944882,-0.199950012496887,-4.04761904761905,7.09109730848861,-1.41070002661698,4.47165291455948,5.37330316742081,14.320718758508,2.91878172588832,23.1126313217689,2.87081339712918,4.73484848484848,1.8365717327655,3.82888830208608,-3.99533391659376,11.21875,0.192149327477357,13.0106323447118,-3.68769074262462,9.47041984732825,7.99999997854077,-1.15052732032497,5.61272217172069,-3.29368708649378,3.98104265037781,-2.42763769986129,-4.19447093212282,-17.2062904625205,0.940733780902937,-1.52817573399256,-0.205973236131596,8.00000000752825,17.1039844587219,1.38203357097839,-0.196270865820526,12.4095139636188,19.9419167564519,-2.93847565390029,-0.36730945673753,0.767018213549976,3.12213039430504,0.778967864344422,-10.2283105079238,11.5508021489628,-3.1880977691605,-0.644468296976753,-0.210748141283364,31.4923619218235,12.701421811782,39.9270738571484,14.3005181453277,23.4704787234043,0.629365050984627,4.4566902685454,2.80633952196101,-2.52917696780521,4.04767302210496,1.71580509893494,4.24309375505582,-1.55366245373926,3.00900545586012,0.56959630359883,0.364660001147021,0,-1.64073104054752,6.46355160094111,4.81917173219049,11.8721406529426,10.88810938435,15.2068768023979,5.24853327043838,0.765610732598151,1.53390654806936,6.99713653918661,-0.918345485663939,5.76297361493074,NA
"3",3,84.2674805771365,17.6526717557252,22.883185416167,0.756097560975624,16.7955534074432,-2.73972602739726,5.75370997136163,13.0974386057565,-5.65362595419848,3.723677452491,13.5853658536585,14.2931528247852,1.63697640828119,9.54097572698871,9.73323720259554,2.19885277246653,7.79382470119521,9.6829268292683,-2.42954324586977,0.372023809523802,2.98133184731123,5.09891334633602,0.801710315339385,4.5739177783828,6.58747300215982,0.592936323794796,-2.56742738589211,-3.27437858508605,-5.00485908649173,5.5340744320928,4.252937884723,6.8868190798758,264.439024390244,10.1195219123506,-3.58999752413963,12.7576310983564,-2.46609124537607,1.6010498687664,15.071232191952,-0.211640211640212,0.388198757763978,-1.22438115517701,2.02289060420548,11.4253393665158,3.5393411380343,1.16751269035534,17.5177131688248,-2.5182573659028,2.05627705627705,-1.41070002661698,-3.8024821758648,-1.10819480898221,4.78125,0.411748558880047,10.8841634023503,0.99186164801628,13.0963740458015,13.0232558079422,-0.575263672729312,7.29653882814138,-3.47666971440206,4.3601895682782,-3.17460317421466,-0.571973318013067,-12.950971318744,-1.12888052228707,-6.49474689450603,0.617919681397476,13.9487179452985,6.41399418157407,3.94866733456198,4.90677133680584,9.92761115462962,23.4269119276288,3.67309459144734,10.284664836795,3.83509109288353,-2.02020202409245,1.94741966086105,-16.4383561683189,2.13903745264591,-0.212539864277775,0.859291081407168,-6.32244468047195,40.6580493571765,9.6682464437312,50.1367365566786,26.7357513104536,21.4412234042553,-2.93832057457068,5.75670024802662,-2.99344517166883,20.2317583525544,7.17555190060242,2.66916898656045,2.70005864746804,8.6571584852082,-2.40715177808453,1.70928680966323,-0.364660001147042,1.62753176793739,-0.546990001720552,5.35543119390414,6.48751475926007,13.3334450538533,5.73061024188844,18.2867537788857,5.99811315192075,-0.191402683149535,3.06806443262045,6.02524125421622,0.183428377477311,9.17840066920884,NA
"4",4,84.2674805771365,17.6526717557252,24.7061645478532,12.0975609756098,6.45239246012567,1.65825522710889,3.77505857849518,17.9561658304727,-2.19465648854963,2.15716486902928,18.8048780487805,7.940640458214,3.49061145883487,19.0819514539774,8.2672434510935,1.29063097514341,8.74003984063745,9.31707317073172,-2.0408163265306,-0.5704365079365,3.20423516299806,4.26302591251045,-0.614644575093536,7.67764769942826,1.02591792656587,2.16550657385924,0.985477178423243,-8.19789674952199,-0.388726919339165,10.3431609473175,-0.223838836038053,10.9793959920971,-11.9024390243902,3.63877822045153,-3.96137657836097,11.3488129402557,-4.34032059186189,1.6010498687664,9.72256935766057,3.43915343915345,-0.388198757763967,1.41070002661698,4.25871706148522,8.39932126696833,8.71222433977674,-0.761421319796949,27.7547031517225,-4.2306723747167,-0.838744588744592,3.24727175938248,-4.01373118563507,-5.13269174686497,7.62499999999999,0.411748558880047,16.2283156127588,20.3967446592065,14.3845419847328,4.46511626028727,2.10930009982925,9.35453696104195,-4.94053064173263,0.379146917900369,-1.49393089975359,10.2955195243162,-16.651248848778,-0.564440248813148,-7.83190067426834,-2.05973222632937,4.92307692977788,5.44217687438768,8.68706810498275,5.49558390854179,7.44570837274945,26.1374637076953,7.16253444248993,19.4674013033774,11.3135186875626,-8.63177226944008,-0.973709843193135,-10.5936073100682,3.63636363585389,-1.70031880279012,3.22234156935551,-17.281348773033,33.1374853147647,17.4407582979605,60.3463992801053,20.1036269575308,20.8324468085107,0,7.05671022750782,-9.54165246412991,28.0295015399914,-3.12787887849747,2.28782343151023,3.85733497815889,4.88356260037707,2.00617892591863,-0.569845253032189,2.00563000630866,14.6488526207715,3.09937104513563,5.54011792841029,10.9359435965462,14.9771731037636,16.4279329692864,18.8642780190086,7.68522067277926,-3.82780280757383,6.71143807194757,7.19151559618069,-6.24426786320383,16.0086952386015,NA
"5",5,92.0921198668146,26.7414122137404,28.1842168385704,2.60975609756098,6.8390526824553,4.39798125450615,-1.40588388440511,11.6979139160285,-7.1087786259542,5.29019003595273,16.9512195121951,8.14891955219994,0.168512277323054,5.14299447248259,0.552751742369637,6.57265774378584,4.95517928286852,2.41463414634147,-2.0408163265306,4.14186507936507,0,4.26302591251045,-1.8439337252806,0.843996732915876,4.72462203023758,-0.592936323794796,16.0269709543569,-1.62523900573615,0.534499514091357,-13.6297728371194,-0.867375489647445,15.7211402766017,-8.17073170731706,7.27755644090304,-5.10027234463975,10.5661361857553,-6.04192355117139,5.01312335958006,7.44813796550862,2.22222222222222,-2.76915113871635,0,-5.88235294117647,3.87443438914027,7.26926218350122,3.88324873096447,39.5064744686049,-6.92520775623268,1.6504329004329,0.798509449028475,-9.45339318721944,-6.67833187518226,13.84375,-1.8940433708482,10.0167879127029,33.7741607324517,16.3645038167939,11.5348836967943,2.49280920660426,8.6061739835598,-3.47666971440206,1.5165876716015,-2.0541549749229,26.8827454718065,-1.66512488972782,-1.5051740297161,-7.25883476150231,0.411946445265867,13.7435897544547,-1.55490767111773,12.4383020870495,-5.10304220262636,6.82523266372493,29.0416263418837,3.48943985104259,5.32598715880226,4.41035474047919,-5.6932965914678,6.62122687245281,-14.6118721575969,0.641711241401132,-1.06269926567284,1.93340494724475,-10.3266596410878,23.9717978794117,23.8862559271147,72.9261622794666,19.8963730587683,26.1082446808511,13.0114622559766,8.5421925163627,-11.225358087844,23.182188583346,-3.49589300097912,-1.14403666515062,-13.1147872512538,10.6548076251658,5.61703805955432,4.17836729003607,3.28170104570914,21.1595130471886,9.29811313540691,7.38674322008463,8.71172917790314,12.7854559035118,9.16902646225954,23.2917115557832,5.06107687923188,-0.191402683149535,8.62888409115471,5.83111695352226,-13.95788850347,18.1430573779435,NA
"6",6,91.4539400665927,18.2013358778626,29.287598944591,19.5365853658537,6.8390526824553,8.07498197548667,-1.40588388440511,17.5336678109321,-6.36927480916031,17.8479712378018,8.00000000000001,12.9133038271283,1.27587867116033,12.11247296323,5.86397500600819,14.0535372848948,8.56573705179284,0.390243902439025,-6.87560738581146,-10.9871031746032,9.55697966007244,5.51685706324881,-0.427578834847675,0.843996732915876,6.15550755939524,-2.75844289765404,17.4273858921162,-3.63288718929255,-0.388726919339165,-15.1039149347511,5.34415221040851,7.98758114592153,-12.4634146341463,4.24966799468791,-5.10027234463975,18.132011479259,-10.7274969173859,6.43044619422571,-5.52361909522621,2.22222222222222,-5.92650103519669,3.03433590630822,-8.94330582911899,15.9502262443439,7.26926218350122,9.28934010152285,38.2115807476179,-4.80987156887435,3.08441558441558,5.69603406973649,-10.0607340903089,1.34149897929426,12.15625,-1.8940433708482,2.77000559597091,22.9145473041709,16.5553435114504,37.9534883587547,1.15052732032496,16.0898035622023,-2.56175662282851,2.27488153225003,-4.85527542419916,24.0228789317209,-2.59019425404872,-2.25776104457414,-7.25883476150231,0.823892890531747,5.53846152919602,-2.72108842445603,17.1767028574703,-1.57016684938738,11.3753877909475,22.071636024907,1.28558311061736,6.06060607227732,7.09491851303777,-7.52984389922748,-3.70009736839862,-15.3424657618857,-4.06417112077569,-5.73857597334568,1.28893662211075,6.32244468047196,36.8977673205685,15.734597154985,86.9644485182042,25.9067357697339,25.4994680851064,17.418668045695,9.65648678448945,-5.42557339421419,24.4467770672486,-3.86390712346079,-0.762691110100412,-10.9931139783207,6.43722505411633,2.80838756326827,0.949493138953623,-10.3918541742339,20.1424056962279,7.11039209313883,34.9028881810172,19.8330442219015,14.7945100536498,10.6970723512077,19.0567860990496,26.0544729109545,0.765610732598151,-1.34238814898221,9.71818858080361,-10.6520854747353,26.4676012835828,NA
"7",7,98.0299667036626,17.8435114503817,26.5291436795395,23.2682926829268,2.97245045915902,2.01874549387168,8.92996615464723,17.3488249273832,-11.2833969465649,8.83410374935799,-6.3170731707317,11.9239781306951,7.14973519499277,6.4167267483778,4.7825042057198,11.1376673040153,9.68625498007969,1.48780487804878,3.13411078717202,-3.99305555555556,6.60351072722207,7.43939816104764,-0.614644575093536,4.79172338687722,8.42332613390928,-4.33101314771849,10.295643153527,-6.54875717017208,-0.388726919339165,-17.8830352827453,3.83324006715165,0.874964719164541,-15.6341463414634,6.05577689243027,5.49641000247587,18.132011479259,-8.11344019728729,4.80314960629921,-3.62409397650588,9.47089947089948,-4.14078674948239,4.47165291455948,-0.825126430662767,18.75,10.4002178056085,27.8934010152284,23.6745663327633,-2.5182573659028,3.51731601731601,4.65797178599946,-13.0710324795353,3.79119276757073,14.0625,10.8701619544332,5.95970900951315,69.2777212614445,11.4742366412214,20.2790697431018,8.24544583336271,17.212347991642,0.365965231832638,-0.947867282327045,-6.16246497372183,20.4003812926213,-0.740055501156771,-3.01034805943218,-7.4498567407702,8.4449021684464,15.3846153887518,-0.194363446151909,21.915103653769,6.67320902628812,28.1282316364111,22.8460793906403,8.81542700984484,2.57116622123475,7.6701821606334,-4.95867767799273,-4.28432327941955,-4.74885845181748,-2.56684490953093,-1.70031880279012,1.71858219097159,17.9135932521295,39.7179788557256,44.9289099575526,78.7602552608681,28.8082901622528,26.9199468085106,18.0480330966796,5.75670024802662,-13.4706258843378,25.7110893195033,-1.84007061240829,3.05051454161065,-14.4646901795826,13.9844168237786,6.21862880431211,4.55826412539086,-11.485834177675,19.5319812792512,7.29272209371234,51.3387972851292,18.7210584879715,16.9864666550158,9.74213756168643,23.0992034757422,24.367365390096,1.33956792662982,9.97127224013694,4.85922166855186,-8.99930432019566,30.9497897531593,NA
"8",8,98.0299667036626,14.7423664122137,17.006476373231,17.3170731707317,0.555824069598832,7.71449170872388,11.5074199427233,21.1777132294693,-3.64980916030535,19.5942475603493,13.219512195122,9.91929185108045,9.72556571978815,3.48473924537372,2.76375871184812,10.9464627151052,6.47410358565736,-0.365853658536578,-1.67638483965014,-6.4484126984127,5.09891334633602,5.09891334633602,2.64564404061999,7.48706779199564,5.34557235421166,-3.1451405001289,8.50622406639005,-6.54875717017208,6.09815354713315,-9.95650072498792,5.95970900951315,321.732994637313,1.1219512195122,3.42629482071713,7.00668482297599,19.5147404122098,-4.53760789149198,20.8398950131234,-9.34766308422896,2.61904761904762,-3.95962732919255,2.02289060420548,4.87090763907372,7.55090497737556,8.52164443234414,22.0812182741117,28.3166381627168,-5.01133215814657,0.216450216450217,-3.03433590630823,-10.4568259836282,-2.21638961796441,14.3125,8.78396925610761,11.1080022383884,36.2919633774161,9.63740458015267,22.1395348759403,9.971236826417,19.2703461245426,0.731930463665297,-1.70616114297557,-2.61437907456877,28.789323156867,-2.77520814146299,-7.90216368067023,-6.68576884873628,14.4181256383002,23.5897435871239,2.33236153215222,14.0177690105231,4.31795876506986,31.8510858363403,19.1674733907186,7.71349863963223,-4.22405876451766,2.30105464064993,-3.85674930778013,-10.9055501518723,-12.7853881229347,0.427807484921827,-0.212539864277775,-4.51127819146625,26.1327713422677,35.9576968191176,54.2180094833835,81.1303555368027,31.9170984535343,38.8914893617021,19.517193383965,6.49956309344446,6.7353129421689,22.7606590887118,-0.920035306204147,1.52513232140982,-5.59299668338456,7.99117845588064,7.42233615986328,3.79847045468125,-10.3918541742339,19.3285064735923,6.5634020914183,73.4995110521577,21.3160158015189,13.3334450538533,7.64073019712116,18.6717699389676,26.4293856933675,2.87078939182612,5.56081965853425,6.02524125421622,-6.06059876607105,35.4322579923175,NA
"9",9,100.998890122087,20.5629770992366,14.2720076757016,15.8292682926829,1.3049782503625,12.11247296323,16.2978391043999,24.5841035120148,-5.10496183206107,25.0898818695429,2.04878048780489,11.9239781306951,19.2826191622533,12.6652247055996,1.85051670271571,11.4961759082218,15.9611553784861,-2.04878048780487,-2.59961127308064,-8.33333333333333,4.26302591251045,3.62217887991084,5.69214323890968,1.87857337326436,6.99244060475162,0.386697602474868,3.55290456431535,-2.00764818355642,10.932944606414,-13.8231029482842,10.0167879127029,1.94750211685013,-4.82926829268292,3.02788844621514,5.66972022777916,19.5147404122098,-4.53760789149198,15.2230971128609,-5.72356910772308,1.82539682539684,-1.39751552795031,4.25871706148522,2.02289060420548,12.9242081447964,6.45249115164716,32.7157360406091,27.9501588077205,-7.70586753966255,4.9512987012987,-3.24727175938249,-14.1008714021653,0.437445319335087,14.3125,14.0269009058468,32.4566312255176,23.677517802645,8.73091603053434,23.9999999843933,12.0805369262463,25.070159022242,-3.11070448256942,0,8.02987862289039,24.0228789317209,-2.22016650347033,-9.21919096900219,-9.16905442899302,5.35530381545367,12.3076923110014,6.99708454550542,9.08193486172913,1.9627085295772,34.7466390818671,24.9757986590954,7.3461891828947,-2.02020202409245,-4.60210930643351,-6.61157024534764,-4.67380721159175,-11.5068493273993,-1.06951869828615,2.12539850348766,-15.6820622779167,19.3888303516058,45.5934195051961,42.27488153225,86.235186898516,35.0259067448157,42.7468085106383,20.9863536712503,10.9562533619899,13.6577315340456,21.2855820891399,-1.28804942868582,2.66916898656045,-8.87169349619802,12.8747410562577,5.01518438177875,6.26779988448748,-8.93345313425989,19.1250316679334,9.84510313712744,52.0775442231539,21.6867586964233,8.76710820212159,-0.764148132569188,16.3619252826438,26.4293856933675,6.50718951625041,4.60197098068982,-0.777261471676196,-0.183669097132783,38.6339410861215,NA
"10",10,105.216426193119,19.2986641221374,15.0155912688894,15.6341463414634,1.86080231996133,7.71449170872388,10.1275709450664,15.1307103247954,-2.19465648854963,23.1381612737545,7.07317073170732,8.33116375943763,5.32017332691382,11.7519826964672,7.16173996635424,9.13001912045888,14.4422310756972,-1.65853658536584,2.01652089407192,-8.13492063492063,4.26302591251045,2.34048481471162,-1.01549973276322,5.60849441873128,4.10367170626349,15.3390048981696,2.17842323651452,-1.09942638623328,-13.1681243926142,-14.378927017883,14.717403469502,6.26587637595258,-1.48780487804878,1.80610889774237,4.92696211933649,20.8974693451605,-1.33168927250307,12.8346456692913,-2.27443139215197,-0.6084656084656,-2.76915113871635,-5.88235294117647,-2.23582645727975,11.4253393665158,11.434794445957,44.9238578680203,9.30857561690692,-5.38907076303198,2.46212121212121,-8.73036997604472,-15.5003960918933,6.24088655584718,11.6875,7.93302223442218,47.1740346950196,9.5116988809766,1.45515267175572,27.1627906809562,11.3135186875626,10.1028999140017,-2.01280878707149,-0.568720364426677,24.2763772433786,20.9723546106344,-3.14523589204139,-8.65475069552827,-6.87679082800418,14.2121524291659,11.2820512761225,10.6899903026234,0.592300109241593,1.37389595784124,37.8490175727718,13.165537293597,6.97887970208518,-3.48943985104259,-1.53403642709995,0.550964197142303,-8.9581304910113,-14.0639269424102,-0.427807484921815,0.850159401395062,-8.59291084222893,11.1696522614676,53.5840187983333,49.8578199151053,74.9316317455572,45.5958549297397,39.2973404255319,22.6651189274387,14.2988927643893,9.3545468144221,21.0748173418229,-4.59993536842411,-14.1087859416936,-3.85733497815887,16.870330284198,10.0301058305397,7.59718985879589,2.73471104398859,22.9907862981186,-1.2760710394005,37.6729471452224,12.6042866236158,4.74899990184556,-7.44994354016911,14.2445887063608,19.6814469766208,8.42096549232884,5.75258939410314,-8.94067235282729,1.65278115453962,41.622159989033,NA
