"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"39","19900227","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"40","19900228","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"41","19900301","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"42","19900302","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"43","19900305","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"44","19900306","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"45","19900307","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"46","19900308","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"47","19900309","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"48","19900312","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"49","19900313","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"50","19900314","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"51","19900315","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"52","19900316","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"53","19900319","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"54","19900320","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"55","19900321","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"56","19900322","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"57","19900323","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"58","19900326","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"59","19900327","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"60","19900328","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"61","19900329","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"62","19900330","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"63","19900402","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"64","19900403","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"65","19900404","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"66","19900405","CCAK90.b01","CCAK90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01"
"67","19900406","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"68","19900409","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"69","19900410","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"70","19900411","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"71","19900412","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"72","19900416","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"73","19900417","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"74","19900418","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"75","19900419","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"76","19900420","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"77","19900423","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"78","19900424","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"79","19900425","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"80","19900426","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"81","19900430","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"82","19900501","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"83","19900502","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"84","19900503","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"85","19900504","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"86","19900507","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"87","19900508","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"88","19900509","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"89","19900510","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"90","19900511","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"91","19900514","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"92","19900515","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"93","19900516","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"94","19900517","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"95","19900518","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"96","19900521","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
