,,,,TICKERS,,,,,,,,,,CLOSING PRICES,,,
,,,,,,,,,,,,,,Closing time is 12:30 pm CHICAGO TIME,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
YYYYMMDD,Lead Contract,,GC0,GC1,GC2,GC3,GC4,GC5,,,,GC0,GC1,GC2,GC3,GC4,GC5
19900430,GCM90,,GCM90,,,,,,,,,370.1,,,,,
19900501,GCM90,,GCM90,,,,,,,,,372.6,,,,,
19900502,GCM90,,GCM90,,,,,,,,,372.7,,,,,
19900503,GCM90,,GCM90,,,,,,,,,373.3,,,,,
19900504,GCM90,,GCM90,,,,,,,,,373.3,,,,,
19900507,GCM90,,GCM90,,,,,,,,,374,,,,,
19900508,GCM90,,GCM90,,,,,,,,,371.5,,,,,
19900509,GCM90,,GCM90,,,,,,,,,372.4,,,,,
19900510,GCM90,,GCM90,,,,,,,,,371.8,,,,,
19900511,GCM90,,GCM90,,,,,,,,,370.5,,,,,
19900514,GCM90,,GCM90,,,,,,,,,371.4,,,,,
19900515,GCM90,,GCM90,,,,,,,,,371.2,,,,,
19900516,GCM90,,GCM90,,,,,,,,,369.7,,,,,
19900517,GCM90,,GCM90,,,,,,,,,370.6,,,,,
19900518,GCM90,,GCM90,,,,,,,,,372.1,,,,,
19900521,GCM90,,GCM90,,,,,,,,,373.8,,,,,
19900522,GCM90,,GCM90,,,,,,,,,376.2,,,,,
19900523,GCM90,,GCM90,,,,,,,,,364.8,,,,,
19900524,GCM90,,GCM90,,,,,,,,,366.9,,,,,
19900525,GCM90,,GCM90,,,,,,,,,368.6,,,,,
19900529,GCM90,,GCM90,,,,,,,,,367.9,,,,,
19900530,GCM90,,GCM90,,,,,,,,,365.8,,,,,
19900531,GCQ90,,GCQ90,,,,,,,,,368.5,,,,,
19900601,GCQ90,,GCQ90,,,,,,,,,363.4,,,,,
19900604,GCQ90,,GCQ90,,,,,,,,,360.7,,,,,
