,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value
5108,20100802,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.32,18.56,17.78,17.04,16.78
5109,20100803,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,18.59,17.97,17.3,16.66,16.33
5110,20100804,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,18.78,18.24,17.58,16.9,16.8
5111,20100805,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,18.46,17.95,17.14,16.41,16.25
5112,20100806,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,18.12,17.8,17.08,16.34,16.3
5113,20100809,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,17.71,17.56,16.95,16.41,16.21
5114,20100810,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,18.46,18.11,17.37,16.69,16.56
5115,20100811,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,18.33,17.96,17.26,16.63,16.37
5116,20100812,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,18.99,18.46,17.57,16.81,16.49
5117,20100813,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.07,18.49,17.65,16.83,16.5
5118,20100816,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.24,18.7,17.84,17.1,16.67
5119,20100817,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.37,18.75,17.94,17.2,16.82
5120,20100818,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.44,18.66,17.84,17.05,16.75
5121,20100819,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.46,18.62,17.75,16.83,16.45
5122,20100820,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.88,18.75,17.84,16.85,16.47
5123,20100823,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.98,18.94,17.99,16.97,16.56
5124,20100824,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.58,18.91,17.9,16.95,16.7
5125,20100825,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,20.29,19.46,18.4,17.37,16.89
5126,20100826,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.45,18.93,17.92,16.91,16.5
5127,20100827,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,20,19.32,18.28,17.27,16.8
5128,20100830,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,19.54,19.08,18.04,17.1,16.75
