"","EK"
"1997-03-13",-2.44897959183673
"1997-03-14",-1.39470013947001
"1997-03-17",0
"1997-03-18",-0.565770862800566
"1997-03-19",-0.995732574679943
"1997-03-20",1.4367816091954
"1997-03-21",-10.4815864022663
"1997-03-24",-3.32278481012658
"1997-03-25",0.981996726677578
"1997-03-26",1.45867098865478
"1997-03-27",-0.479233226837061
"1997-03-31",-2.40770465489567
"1997-04-01",-0.986842105263158
"1997-04-02",-0.996677740863787
"1997-04-03",0
"1997-04-04",1.00671140939597
"1997-04-07",2.32558139534884
"1997-04-08",0.649350649350649
"1997-04-09",-0.32258064516129
"1997-04-10",-2.26537216828479
"1997-04-11",-0.662251655629139
"1997-04-14",-2.5
"1997-04-15",3.07692307692308
"1997-04-16",3.64842454394693
"1997-04-17",0
"1997-04-18",1.12
"1997-04-21",0
"1997-04-22",0.632911392405063
"1997-04-23",2.0440251572327
"1997-04-24",-1.2326656394453
"1997-04-25",-0.78003120124805
"1997-04-28",1.57232704402516
"1997-04-29",3.09597523219814
"1997-04-30",-0.15015015015015
"1997-05-01",-0.451127819548872
"1997-05-02",-1.3595166163142
"1997-05-05",1.53139356814701
"1997-05-06",0.754147812971342
"1997-05-07",-2.39520958083832
"1997-05-08",-0.613496932515337
"1997-05-09",1.23456790123457
"1997-05-12",1.21951219512195
"1997-05-13",-0.903614457831325
"1997-05-14",-0.151975683890578
"1997-05-15",-0.15220700152207
"1997-05-16",-2.4390243902439
"1997-05-19",-0.15625
"1997-05-20",1.40845070422535
"1997-05-21",-0.154320987654321
"1997-05-22",0.772797527047913
"1997-05-23",1.53374233128834
"1997-05-27",2.11480362537764
"1997-05-28",-1.33136094674556
"1997-05-29",-0.149925037481259
"1997-05-30",-0.45045045045045
"1997-06-02",0
"1997-06-03",0.904977375565611
"1997-06-04",-0.448430493273543
"1997-06-05",0.600600600600601
"1997-06-06",1.49253731343284
"1997-06-09",-1.02941176470588
"1997-06-10",-0.297176820208024
"1997-06-11",-5.06706408345753
"1997-06-12",1.72684458398744
