Row.names,AAPL,AXP,BA,CAT,CSCO,CVX,KO,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,DIS,WBA,GE,T,BAC,AA,C,MO,IP,GT,SHLD,HPQ,AIG,DD,KFT,SBC,UK,HON
27/03/97,11.1941546,-3.495145848,-3.325415677,-1.080246914,-2.625301897,-3.466204506,-2.132196162,-1.98473043,-1.142857143,NA,-2.466371278,-2.317290553,-1.066666667,-3.501094092,-3.50438434,-0.257731959,-2.145922747,-2.200825309,-0.530503979,-2.490421456,-2.374303858,-2.789256198,-1.831501832,-3.117505995,-1.732283465,NA,-4.59081669,-2.53164557,-0.332222784,-2.279202279,-2.527075812,-4.608294931,-3.138075314,-2.619582992,-2.631584991,-1.987441071,-0.303946047,0.696055684,NA,-1.345285777,NA,-2.164009112,NA,NA,-3.723404255,-3.807948814
31/03/97,-2.013442998,-3.621719582,-3.071253071,0.15600624,-5.637264374,0,-2.832244009,-0.46728972,-0.346820809,NA,-1.609191769,0.182481752,0,-4.081632653,-2.594035798,-2.325581395,-1.023391813,-5.203938115,-2.199995733,-2.750491159,-3.719601717,-2.444208289,-3.171641791,-5.693069307,-2.884615385,NA,1.673638719,-3.463203463,-2.833339005,-2.332361516,-1.975312593,1.449275362,-4.103671706,-0.584792874,-5.651102684,-2.561365974,-4.878047212,-3.686635945,NA,-3.181817854,NA,-1.280558789,NA,NA,-2.209944751,-1.893289446
01/04/97,-4.109631075,1.461373031,1.394169835,-1.557632399,0.519484697,-1.077199282,0.67264574,0.156492019,-0.812064965,NA,-0.467293454,-0.364298725,0.134773765,3.78250591,1.864183262,2.116402116,1.1816839,2.818991098,1.704153709,0.808080808,1.188709687,2.178649237,0.963391137,2.362204724,0.330033003,NA,-0.617283883,-0.448430493,-0.686099902,0.298507463,-0.629718917,0.714285714,1.126126126,1.470588163,3.90625,1.64293532,3.205121272,0.956937799,NA,-1.87793998,NA,-2.122641509,NA,NA,0.847457627,-0.70176002
02/04/97,2.85712,-3.703703704,-1.75,-0.791139241,-1.808781395,-2.722323049,-0.668151448,-0.156247504,-1.988304094,NA,-0.234743669,-2.193784278,-1.659940015,-0.911161731,-3.398694902,-1.554404145,-1.751824818,-1.443001443,-1.340482574,-2.004008016,-1.908955066,-1.70575693,-0.954198473,2.307692308,0,NA,-2.691512318,0,0,-2.083333333,-0.887203042,-1.418439716,-0.445434298,-1.333340506,-5.263157895,-1.400865469,-0.931670783,-1.184834123,NA,-3.110041677,NA,-0.722891566,NA,NA,-1.960784314,-0.353352643
03/04/97,4.861112191,1.495733331,-2.417302799,-1.435406699,1.842100975,-3.917910448,-0.67264574,-1.095459155,-2.386634845,NA,-0.470583552,-1.962616822,2.645985401,-0.689655172,1.217862002,2.105263158,-0.44576523,-0.146412884,3.39673913,-3.680981595,1.047901771,-0.21691974,-0.770712909,-2.756892231,-1.480263158,NA,1.063832203,0,0.345419877,0.303951368,0.6393944,-1.199040767,-0.67114094,-1.116331307,2.380952381,-0.109293115,-2.194356952,-1.678657074,NA,0,NA,0.485436893,NA,NA,-0.571428571,-0.70922271
04/04/97,1.98677658,0.210521491,2.21642764,2.427184466,5.167962791,0.970873786,3.611738149,0.158225312,-0.366748166,NA,3.309693617,-1.42993327,3.111111111,1.157407407,0.401069527,-0.515463918,-0.597014925,1.906158358,-0.98554113,0.42462845,3.851854222,3.47826087,-0.388349515,3.350515464,-1.168614357,NA,0.421051331,0.45045045,1.549055512,2.121212121,2.541291892,-0.242718447,0.675675676,0.118837886,-0.775193798,-0.765857357,2.564096497,-0.487804878,NA,4.197531637,NA,0.966183575,NA,NA,-1.149425287,1.428580087
07/04/97,1.298763636,0.840339959,2.168367347,-0.473933649,7.00245083,0,-1.74291939,0.473933649,3.067484663,NA,2.059496549,2.51450677,0.086206897,-0.228832952,0.399467385,1.03626943,-1.351351351,-0.287769784,1.791634695,-7.188160677,0.285302133,-1.470588235,1.949317739,0.748129676,1.52027027,NA,2.935008911,0.448430493,0,-0.890207715,-0.371747212,2.676399027,0.67114094,-1.364990069,2.08333,-0.110257107,0,4.411764706,NA,-0.47394552,NA,-1.315789474,NA,NA,2.325581395,1.056336552
08/04/97,-1.923096252,2.291659871,1.373283396,-1.111111111,1.722163981,0.192307692,0.66518847,0.628928302,-0.952380952,NA,0.224217038,3.113207547,1.022770715,0,2.785152314,2.307692308,3.04414003,-1.587301587,2.477183833,-0.227790433,-2.133712709,-1.279317697,1.529636711,-0.495049505,-0.332778702,NA,-1.629326537,2.232142857,0.1694858,2.694610778,0.746268657,0.236966825,4.222222222,-0.240671389,0.510210629,0.882998675,2.187499707,-1.643192488,NA,0.952388143,NA,2.545454545,NA,NA,-1.420454545,-1.21951985
09/04/97,-0.653699073,-1.221995938,0,0.481540931,-2.370197657,0.19193858,1.54185022,-0.156247504,-0.360576923,NA,1.789707335,-2.561756633,-2.973410363,-1.605504587,-1.419356845,-0.501253133,-2.658788774,-4.398826979,-0.254452926,2.96803653,-2.180232609,3.455723542,-1.506591337,1.741293532,0,NA,-1.035195345,0,-0.169199031,-0.874635569,0.61728,-2.600472813,-2.345415778,0.241252014,0,-0.656455165,-1.223240012,-1.670644391,NA,-2.830193226,NA,-1.300236407,NA,NA,-0.576368876,-0.705461723
10/04/97,-0.657853047,-1.855667294,0.615763547,-0.638977636,-2.65897224,-1.149425287,-1.084598698,0.938967136,-0.120627262,NA,0,-0.093896714,-3.514938489,1.398601399,-1.43979264,-1.007556675,1.213960546,2.607361963,-1.275510204,-1.10864745,1.337295723,-0.104384134,2.294455067,2.689486553,-0.500834725,NA,0.209202514,-0.873362445,0.338979849,-1.764705882,-0.368098174,0.970873786,0.873362445,0,-0.507620694,0.550667861,1.547990617,-0.970873786,NA,-2.669893074,NA,-1.916167665,NA,NA,2.898550725,-0.888100162
