"","DD"
"1997-03-13",-0.779510022271715
"1997-03-14",1.23456790123457
"1997-03-17",0.997782705099778
"1997-03-18",-2.52469813391877
"1997-03-19",-0.900900900900901
"1997-03-20",-1.59090909090909
"1997-03-21",2.3094688221709
"1997-03-24",3.16027088036117
"1997-03-25",-1.96936542669584
"1997-03-26",-2.00892857142857
"1997-03-27",-2.16400911161731
"1997-03-31",-1.28055878928987
"1997-04-01",-2.12264150943396
"1997-04-02",-0.72289156626506
"1997-04-03",0.485436893203883
"1997-04-04",0.966183574879227
"1997-04-07",-1.31578947368421
"1997-04-08",2.54545454545455
"1997-04-09",-1.30023640661939
"1997-04-10",-1.91616766467066
"1997-04-11",-2.80830280830281
"1997-04-14",0.753768844221105
"1997-04-15",1.24688279301746
"1997-04-16",1.60098522167488
"1997-04-17",1.45454545454545
"1997-04-18",0.2389486260454
"1997-04-21",1.43027413587604
"1997-04-22",1.76263219741481
"1997-04-23",-2.07852193995381
"1997-04-24",-3.5377358490566
"1997-04-25",1.10024449877751
"1997-04-28",-0.725513905683192
"1997-04-29",4.26309378806334
"1997-04-30",-0.817757009345794
"1997-05-01",-2.70906949352179
"1997-05-02",3.99515738498789
"1997-05-05",0.582072176949942
"1997-05-06",2.08333333333333
"1997-05-07",-2.94784580498866
"1997-05-08",0.233644859813084
"1997-05-09",0.932400932400932
"1997-05-12",2.19399538106236
"1997-05-13",-2.25988700564972
"1997-05-14",1.96531791907514
"1997-05-15",0
"1997-05-16",-1.8140589569161
"1997-05-19",0.69284064665127
"1997-05-20",1.72018348623853
"1997-05-21",-0.789177001127396
"1997-05-22",-1.02272727272727
"1997-05-23",0.803673938002296
"1997-05-27",1.82232346241458
"1997-05-28",-2.12527964205817
"1997-05-29",-0.8
"1997-05-30",0.115207373271889
"1997-06-02",-0.690448791714614
"1997-06-03",0.231749710312862
"1997-06-04",-0.346820809248555
"1997-06-05",0.580046403712297
"1997-06-06",2.19146482122261
"1997-06-09",0.225733634311512
"1997-06-10",0.112612612612613
"1997-06-11",2.47469066366704
"1997-06-12",1.53677277716795
"1997-06-13",-49.0810810810811
"1997-06-16",1.48619957537155
"1997-06-17",0
"1997-06-18",-0.418410041841004
"1997-06-19",2.73109243697479
"1997-06-20",-0.408997955010225
"1997-06-23",-2.87474332648871
"1997-06-24",4.0169133192389
"1997-06-25",-0.101626016260163
"1997-06-26",-0.508646998982706
"1997-06-27",0
"1997-06-30",2.86298568507157
"1997-07-01",-0.298210735586481
"1997-07-02",-0.398803589232303
"1997-07-03",1.5015015015015
"1997-07-07",-1.08481262327416
"1997-07-08",3.78863409770688
"1997-07-09",-2.97790585975024
"1997-07-10",1.08910891089109
"1997-07-11",-0.881488736532811
"1997-07-14",-1.48221343873518
"1997-07-15",-1.10330992978937
"1997-07-16",2.4340770791075
"1997-07-17",3.76237623762376
"1997-07-18",-4.9618320610687
"1997-07-21",1.20481927710843
"1997-07-22",5.05952380952381
"1997-07-23",2.17186024551464
"1997-07-24",-0.739371534195933
"1997-07-25",-0.186219739292365
"1997-07-28",-0.0932835820895522
"1997-07-29",0.466853408029879
"1997-07-30",0.743494423791822
"1997-07-31",-1.01476014760148
"1997-08-01",-0.279589934762349
"1997-08-04",0.373831775700935
"1997-08-05",1.67597765363128
"1997-08-06",0.732600732600733
"1997-08-07",0.363636363636364
"1997-08-08",-2.17391304347826
"1997-08-11",0.462962962962963
"1997-08-12",-1.47465437788018
"1997-08-13",-3.18054256314312
"1997-08-14",-2.22222222222222
"1997-08-15",-2.4703557312253
"1997-08-18",3.3434650455927
"1997-08-19",2.35294117647059
"1997-08-20",2.68199233716475
"1997-08-21",-1.58582089552239
"1997-08-22",-0.4739336492891
"1997-08-25",-0.19047619047619
"1997-08-26",-0.66793893129771
"1997-08-27",-1.0566762728146
"1997-08-28",-1.84466019417476
"1997-08-29",-1.38476755687438
"1997-09-02",4.1123370110331
"1997-09-03",-1.83044315992293
"1997-09-04",-0.490677134445535
"1997-09-05",-2.26824457593688
"1997-09-08",0.302724520686176
"1997-09-09",2.8169014084507
"1997-09-10",-1.17416829745597
"1997-09-11",-0.693069306930693
"1997-09-12",0.299102691924227
"1997-09-15",-1.29224652087475
"1997-09-16",0.40281973816717
"1997-09-17",2.30692076228686
"1997-09-18",0.686274509803922
"1997-09-19",-2.14216163583252
"1997-09-22",0.149253731343284
"1997-09-23",0.0496770988574267
"1997-09-24",-0.297914597815293
"1997-09-25",-0.398406374501992
"1997-09-26",1
"1997-09-29",-1.08910891089109
"1997-09-30",-1.4014014014014
"1997-10-01",0.812182741116751
"1997-10-02",0.201409869083585
"1997-10-03",-2.91457286432161
"1997-10-06",-0.20703933747412
"1997-10-07",1.2448132780083
"1997-10-08",0.204918032786885
"1997-10-09",-0.81799591002045
"1997-10-10",1.54639175257732
"1997-10-13",-1.31979695431472
"1997-10-14",-4.4238683127572
"1997-10-15",0.538213132400431
"1997-10-16",-0.642398286937901
"1997-10-17",-0.754310344827586
"1997-10-20",-1.84581976112921
"1997-10-21",2.98672566371681
"1997-10-22",2.47046186895811
"1997-10-23",0.733752620545073
"1997-10-24",-3.32986472424558
"1997-10-27",-7.85791173304629
"1997-10-28",4.90654205607477
"1997-10-29",1.11358574610245
"1997-10-30",-0.881057268722467
"1997-10-31",1.11111111111111
"1997-11-03",5.27472527472527
"1997-11-04",-3.13152400835073
"1997-11-05",-0.107758620689655
"1997-11-06",1.1866235167206
"1997-11-07",-0.852878464818763
"1997-11-10",0.645161290322581
"1997-11-11",3.41880341880342
