,Date,Closing.Price.0,MA.Price,,Price.1,Price.2,Price.3,Price.4,Price.5,Price.6,Price.7,Price.8,Price.9,Price.10,,Return.1,Return.2,Return.3,Return.4,Return.5,Return.6,Return.7,Return.8,Return.9,Return.10
1,29/04/91,373.660004,374.2564001,,375.339996,380.290009,380.519989,380.799988,380.079987,377.320007,378.51001,383.25,375.73999,376.76001,,0.004496044,0.017743416,0.018358896,0.019108237,0.017181349,0.009795009,0.01297973,0.025665032,0.00556652,0.008296328
2,14/05/91,371.619995,376.8261993,,368.570007,372.190002,372.390015,372.279999,375.350006,376.190002,374.959991,377.48999,381.940002,382.790009,,-0.008207276,0.001533844,0.002072063,0.001776019,0.010037164,0.012297527,0.008987665,0.015795692,0.027770322,0.030057624
3,10/06/91,378.570007,379.3585992,,381.049988,376.649994,377.630005,382.290009,380.130005,378.589996,375.089996,375.420013,377.75,370.940002,,0.006550918,-0.005071751,-0.002483033,0.009826457,0.004120765,5.28E-05,-0.009192516,-0.00832077,-0.002166064,-0.020154806
4,09/07/91,376.109985,377.808999,,375.73999,376.970001,380.25,382.390015,381.540009,381.179993,385.369995,384.220001,382.880005,379.420013,,-0.000983741,0.002286608,0.011007458,0.016697323,0.01443733,0.013480121,0.024620484,0.021562884,0.018000107,0.008800692
5,19/08/91,376.470001,380.9151984,,379.429993,390.589996,391.329987,394.170013,393.850006,393.059998,396.640015,396.470001,395.429993,392.149994,,0.007862491,0.037506295,0.039471899,0.04701573,0.04616571,0.044067248,0.053576683,0.053125083,0.050362557,0.041650046
6,10/09/91,384.559998,385.0389991,,385.089996,387.339996,383.589996,385.779999,385.5,386.940002,387.559998,387.920013,385.920013,387.709991,,0.001378193,0.007229036,-0.002522368,0.003172459,0.002444357,0.006188902,0.007801123,0.008737297,0.003536548,0.008191161
7,25/09/91,386.880005,387.1299994,,386.48999,385.899994,387.859985,389.200012,388.26001,384.470001,381.25,379.5,380.670013,376.799988,,-0.001008103,-0.002533114,0.002533033,0.005996709,0.00356701,-0.006229332,-0.014552329,-0.019075695,-0.016051468,-0.026054634
8,24/10/91,385.070007,387.5771997,,384.200012,389.519989,391.480011,392.959991,392.450012,391.320007,390.279999,388.709991,389.970001,393.720001,,-0.002259316,0.011556293,0.016646334,0.020489739,0.019165359,0.016230815,0.013529987,0.009452785,0.012724943,0.022463432
9,15/11/91,382.619995,388.0468004,,385.23999,379.420013,378.529999,380.059998,376.140015,375.339996,377.959991,376.549988,375.220001,381.399994,,0.006847512,-0.008363342,-0.010689447,-0.006690704,-0.016935811,-0.019026708,-0.012179196,-0.015864323,-0.019340322,-0.003188545
10,04/03/92,409.329987,412.8845995,,406.51001,404.440002,405.209991,406.890015,404.029999,403.890015,405.839996,406.390015,409.579987,409.149994,,-0.006889251,-0.011946315,-0.010065219,-0.005960892,-0.012947959,-0.013289943,-0.008526106,-0.007182401,0.000610754,-0.000439726
11,09/06/92,410.059998,410.9504011,,407.25,409.049988,409.76001,410.290009,408.320007,402.26001,400.959991,403.670013,403.399994,404.040009,,-0.006852651,-0.002463079,-0.000731571,0.00056092,-0.00424326,-0.019021577,-0.022191892,-0.015583049,-0.016241535,-0.014680752
12,07/07/92,409.160004,411.4074011,,410.279999,414.230011,414.619995,414.869995,417.679993,417.100006,417.540009,415.619995,413.75,413.76001,,0.002737303,0.012391258,0.013344391,0.013955399,0.020823123,0.019405616,0.020480997,0.015788422,0.011218096,0.01124256
13,22/07/92,410.929993,411.6092017,,412.079987,411.600006,411.540009,417.519989,422.230011,423.920013,424.209991,425.089996,424.359985,422.190002,,0.002798516,0.00163048,0.001484477,0.016036785,0.027498645,0.031611273,0.032316935,0.034458431,0.032681946,0.027401283
14,24/08/92,410.720001,413.9910016,,411.609985,413.51001,413.529999,414.839996,414.029999,416.070007,417.980011,417.980011,417.079987,414.440002,,0.002166887,0.006792971,0.006841639,0.010031153,0.008059013,0.01302592,0.0176763,0.0176763,0.015484968,0.009057268
