"","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Fund-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014371755171319,0.01334966135592,0.0113629802639637,0.020550498015204,0.0361595021225503,0.0126688688947091,0.01307025453689,-0.0142406919952842,0.0138509439139372,0.0111875405955164,0.0138965137565425,0.00922359830805527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251452494146702,-0.004243011756267,0.0248929788955591,0.0181312105471705,0.0315449228729449,0.0106141548968398,0.0314500080599246,0.021891575791046,0.0345975615560821,0.0109285641991088,0.0296235946459343,0.0166793734093438,-0.000491493330901994,-0.00316348131795125,0.0262134973313908,0.00781523081975275,-0.00888503693146583,0.0251084213283877,0.00512829815595405,-0.0147418330321701,0.0191490583000568,0.0191068395320769,-0.00452065420964076,0.0121970838304533,0.0294018943676566,0.00534427844671332,-0.00372005810598211,0.00385547398513426,0.0223385313286854,NA
"Fund-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454836856445216,-0.0236107160868912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00178726616115437,0.0117311561927535,0.0291265671170489,0.0231174138976869,0.0062039945909024,0.0434951832714812,-0.0136705739935794,-0.00780711470843854,-0.0148544592360495,0.0302393165002638,0.0141539801913325,0.000145659491393769,0.0303126739648831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0892276563953737,-0.000177158040649898,-0.00713027748435258,0.0190264868911048,0.0106579612674453,-0.00486382291423635,0.00128776445601893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0325032342721268,-0.00534315842063944,-0.000943304898058256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0279512927013467,-0.00476995954757732,0.0803991846621125,0.101395099290323,0.0593645039933413,0.00794378039808087,0.0922572366364343,0.0778744541683758,0.039410809686319,0.024729980647267,0.0459078564166025,0.0184255396455047,0.00847713458850351,0.0623360815926937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0582717728121454,0.00672603965234283,0.00190757337297329,0.0737262139909712,0.0180233456787456,0.0699442103988835,0.0271490381954582,0.0377826567656703,0.0522838029360397,0.0510472129858708,0.00809166382156218,0.060955658841271,0.0856949696747424,0.00119923217273341,-0.0065227058949729,0.0501580894068187,0.00708728727191536,0.00709556059651691,0.0459042750343379,0.00430383495967011,-0.00207661354584056,0.0382103102828653,0.020882281675429,0.00404728398470791,0.0126961806746196,0.0212374682624075,0.00485856146445547,-0.00717585082522179,0.0134266545332257,0.0170501285951192,NA
"Fund-37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0234526666410431,0.00415658643399234,0.0180686265331853,0.00157328645807323,0.0117755203370237,0.00986869496352553,-0.00294654740826473,0.00208490593526302,0.0220908957264325,-0.00136887147654052,-0.00660071191993642,0.00213182504266516,0.0234294650787103,0.00317361350088373,0.00468975984914249,0.00903587928731203,0.0155340402359992,-0.0155128984291373,0.0150644081433861,0.00876343404094108,-0.00396966273590281,0.00797026269969536,0.035598406479457,NA,NA,NA,NA,NA
"Fund-38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00203140149284962,-0.00114816356797668,0.00409361385580761,0.00227956976199914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0246591412599259,0.00824384035090768,0.0488886481592895,-0.00756903654197936,0.014005230462803,0.031086084280701,0.00721097541852029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00952657408966484,0.0266869986922205,-0.00569538752760303,0.0152969258125949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103946821476017,0.0667799252152595,0.0356117800475658,-0.0110995476639081,0.0917347765921393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0304883210702831,0.0194230454985525,0.00274809657014901,0.0033421930468631,0.0247190489359157,0.0215508517055668,-0.00477577778195533,0.0274986298754053,-0.00889824374715485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
