"","Year 1995","Sharpe.Ratios"," ","Year 1996","Sharpe.Ratios"," ","Year 1997","Sharpe.Ratios"," ","Year 1998","Sharpe.Ratios"," ","Year 1999","Sharpe.Ratios"," ","Year 2000","Sharpe.Ratios"," ","Year 2001","Sharpe.Ratios"," ","Year 2002","Sharpe.Ratios"," ","Year 2003","Sharpe.Ratios"," ","Year 2004","Sharpe.Ratios"," ","Year 2005","Sharpe.Ratios"," ","Year 2006","Sharpe.Ratios"," ","Year 2007","Sharpe.Ratios"," ","Year 2008","Sharpe.Ratios"," ","Year 2009","Sharpe.Ratios"," ","Year 2010","Sharpe.Ratios"," ","Year 2011","Sharpe.Ratios"," ","Year 2012","Sharpe.Ratios"," ","Year 2013","Sharpe.Ratios"," ","Year 2014","Sharpe.Ratios"," ","Year 2015","Sharpe.Ratios"," ","Year 2016","Sharpe.Ratios"," ","Years","Sharpe.Ratios","Spaces"
"11","Fund-4961",0.130308430132574," ","Fund-2695",0.135908413440441," ","Fund-459",0.146043375852228," ","Fund-45431",0.0895282641541076," ","Fund-1695",0.134223490006148," ","Fund-37906",0.193999355853157," ","Fund-37137",0.118750566630781," ","Fund-44343",0.154738829693149," ","Fund-53743",0.193676492931235," ","Fund-70186",0.181282073439745," ","Fund-56743",0.391919286763563," ","Fund-72522",0.688963644646023," ","Fund-50649",0.807055956929913," ","Fund-35121",0.25523900790159," ","Fund-76953",0.227251276401868," ","Fund-50222",0.199335806643793," ","Fund-46484",0.0692520214181166," ","Fund-78084",0.0956314321007108," ","Fund-54065",0.109118142641081," ","Fund-78078",0.0820830144620143," ","Fund-78074",0.0549098661147875," ","Fund-78085",0.0731909046710089," ","Fund-75972",0.0938470217459694," "
"12","Fund-1060",0.127988688544592," ","Fund-2900",0.135554993372399," ","Fund-1366",0.142074133058076," ","Fund-3841",0.0887024401852659," ","Fund-2379",0.131719771540367," ","Fund-1204",0.155585338174747," ","Fund-3208",0.117524155030788," ","Fund-36945",0.128384812385751," ","Fund-44341",0.186462777846982," ","Fund-36545",0.17965368003717," ","Fund-45865",0.373351939131047," ","Fund-73039",0.60972031945218," ","Fund-73039",0.789409435587168," ","Fund-51457",0.252989246095792," ","Fund-78131",0.210013725868337," ","Fund-50309",0.196208506034091," ","Fund-77521",0.069227820576796," ","Fund-78657",0.0920191399802587," ","Fund-78076",0.108391540073608," ","Fund-52731",0.0793602348668122," ","Fund-78082",0.0543718480490619," ","Fund-51007",0.0724307365261464," ","Fund-70122",0.0891324626743631," "
"13","Fund-1076",0.124932841472829," ","Fund-2866",0.134645046901864," ","Fund-79040",0.141930140069753," ","Fund-1982",0.0869319105885098," ","Fund-4273",0.130750534462975," ","Fund-1201",0.142304493920203," ","Fund-3009",0.115582570974295," ","Fund-36759",0.123900779559515," ","Fund-35265",0.165397304827041," ","Fund-34298",0.163938591032336," ","Fund-46483",0.351928405608824," ","Fund-4146",0.593251025255122," ","Fund-459",0.76235426074081," ","Fund-73039",0.232755030832143," ","Fund-78132",0.210013725868337," ","Fund-42721",0.180756169468782," ","Fund-83184",0.0689959190122265," ","Fund-78099",0.0882203229904122," ","Fund-78086",0.105402038880679," ","Fund-75012",0.0768649872250721," ","Fund-78080",0.0538886208542666," ","Fund-54470",0.0712957613518186," ","Fund-82432",0.0884276507487238," "
"14","Fund-1073",0.121697588851522," ","Fund-986",0.133013183782267," ","Fund-79041",0.141930140069753," ","Fund-50643",0.0868900614824724," ","Fund-2740",0.127761852153734," ","Fund-48801",0.136399269743622," ","Fund-71803",0.114632012007722," ","Fund-70028",0.10884931376413," ","Fund-36631",0.161687296054009," ","Fund-1463",0.160034263250723," ","Fund-38437",0.312296269704988," ","Fund-45865",0.586792118837276," ","Fund-38578",0.74765278914837," ","Fund-70203",0.226966818466555," ","Fund-57694",0.181897938248066," ","Fund-74477",0.173258467869445," ","Fund-77522",0.068917735093486," ","Fund-77123",0.0834994074967336," ","Fund-72071",0.103000769098136," ","Fund-78079",0.0720824960798891," ","Fund-78083",0.0532891839329535," ","Fund-33807",0.0666763294312405," ","Fund-71224",0.0877759790203193," "
"15","Fund-2570",0.119927011963756," ","Fund-1797",0.132986756598317," ","Fund-2755",0.141534218784675," ","Fund-2781",0.0842941219510098," ","Fund-37906",0.125333934646517," ","Fund-34243",0.13342693017382," ","Fund-35159",0.11387765109537," ","Fund-36355",0.107213442517239," ","Fund-70188",0.155971727160994," ","Fund-35268",0.159955223545653," ","Fund-74281",0.28173488179143," ","Fund-459",0.58115556662863," ","Fund-4146",0.64026069423858," ","Fund-57694",0.218135618922564," ","Fund-52447",0.148947207563223," ","Fund-78611",0.149397867307149," ","Fund-52115",0.0656751736690895," ","Fund-81758",0.0829664933916111," ","Fund-78078",0.0954030281260521," ","Fund-81758",0.0623773724049817," ","Fund-48906",0.0527491953784931," ","Fund-37340",0.0662439861803151," ","Fund-75971",0.087633767361448," "
"16","Fund-504",0.118924708238139," ","Fund-4039",0.130396279640552," ","Fund-1883",0.136787062928675," ","Fund-2309",0.0831156778659446," ","Fund-36251",0.121665316045373," ","Fund-4576",0.131847287361714," ","Fund-2074",0.106920419817409," ","Fund-4146",0.10690815197149," ","Fund-35121",0.152564502895345," ","Fund-33351",0.159147395040077," ","Fund-74303",0.279269640117351," ","Fund-50822",0.540496010575726," ","Fund-72962",0.598221056086294," ","Fund-70201",0.214684213252263," ","Fund-58106",0.128455394499514," ","Fund-83391",0.141670080984027," ","Fund-52116",0.0656062719455451," ","Fund-52731",0.0826128619430785," ","Fund-75012",0.0919763244187756," ","Fund-54065",0.056384759452686," ","Fund-83019",0.0522649718043361," ","Fund-73186",0.065576079872287," ","Fund-78316",0.0842889739265563," "
"17","Fund-1463",0.115369381327212," ","Fund-1363",0.128997721312427," ","Fund-1483",0.135091226349685," ","Fund-2074",0.0823214550956949," ","Fund-4346",0.121341177311261," ","Fund-70692",0.131508150244407," ","Fund-2740",0.104587096231226," ","Fund-33351",0.105116883736975," ","Fund-75215",0.149833020369778," ","Fund-35267",0.158069787164915," ","Fund-1463",0.230803683059371," ","Fund-35123",0.504218161971772," ","Fund-70201",0.540100799816909," ","Fund-70199",0.210820499973294," ","Fund-78099",0.127369196881946," ","Fund-57694",0.129092619111738," ","Fund-83185",0.0634320453272229," ","Fund-78656",0.0811640047218413," ","Fund-72470",0.0916141738933711," ","Fund-34275",0.0498401238170476," ","Fund-78086",0.0516647459363341," ","Fund-78086",0.0651691826376863," ","Fund-76848",0.0813033686501034," "
"18","Fund-34563",0.115152092139008," ","Fund-44844",0.127037517499571," ","Fund-44844",0.132252343737538," ","Fund-70028",0.0810881369377593," ","Fund-2074",0.120053472052552," ","Fund-70693",0.131508150244407," ","Fund-39824",0.104514916704887," ","Fund-35830",0.104099306573465," ","Fund-57923",0.147698262802188," ","Fund-34563",0.155740268792226," ","Fund-34563",0.230803683059371," ","Fund-4148",0.386273258018251," ","Fund-70199",0.489633439432477," ","Fund-70204",0.179271099129166," ","Fund-4352",0.12243807000895," ","Fund-52115",0.0943484050425423," ","Fund-82630",0.0612175394401077," ","Fund-82630",0.0808894686999261," ","Fund-78315",0.0897673872306866," ","Fund-83018",0.0497391829632342," ","Fund-73186",0.05101670380859," ","Fund-33972",0.063711552920919," ","Fund-71461",0.0807019206730226," "
"19","Fund-2006",0.109876484773338," ","Fund-35527",0.126786860011634," ","Fund-1885",0.130983761070011," ","Fund-1928",0.0788582411770063," ","Fund-2038",0.119442503425958," ","Fund-70694",0.131505120881334," ","Fund-2156",0.102685513413481," ","Fund-37925",0.104099306573465," ","Fund-76818",0.147698262802188," ","Fund-5082",0.154661347580472," ","Fund-459",0.225541414519276," ","Fund-42721",0.377569971224852," ","Fund-70203",0.48359296098115," ","Fund-70205",0.173877907720378," ","Fund-80545",0.122423440363765," ","Fund-75399",0.093957358470882," ","Fund-82687",0.0564539603092563," ","Fund-82541",0.0808614053098817," ","Fund-78080",0.0889049771191736," ","Fund-71825",0.0493683986805974," ","Fund-78081",0.0452977935939656," ","Fund-73185",0.0623817940165173," ","Fund-38941",0.0799477252380277," "
"20","Fund-928",0.109785855296355," ","Fund-1696",0.12664193547096," ","Fund-1077",0.127899733312622," ","Fund-4169",0.0728471763567092," ","Fund-36730",0.118622751989718," ","Fund-70691",0.131504314099204," ","Fund-34298",0.0999866726898845," ","Fund-42637",0.103842855866768," ","Fund-76819",0.147698262802188," ","Fund-74271",0.147388002824435," ","Fund-70185",0.197376152564645," ","Fund-1463",0.357640335743762," ","Fund-78131",0.447460149629645," ","Fund-71804",0.161111691135759," ","Fund-74477",0.118777058851131," ","Fund-78391",0.0914812388416753," ","Fund-71463",0.0559588851293504," ","Fund-80545",0.0791750371558844," ","Fund-78273",0.0862471224707605," ","Fund-57846",0.0491490651618612," ","Fund-33972",0.0451963063646877," ","Fund-52447",0.0615263974037231," ","Fund-73155",0.0793567942172003," "
