"","sd.breaking.point","sp500.returns","Pr(>F)","Change in SD"
"d1",0.011139134809175,0,0,0.011139134809175
"d2",0.0209927011938025,0.0153857526429766,0.00585552091447999,0.00560694855082584
"d3",0.0231601418477649,0.0189053705062723,0.0140677240571011,0.00425477134149254
"d4",0.026716482034215,0.0208281019970406,0.00306884294439305,0.00588838003717445
"d5",0.0281074793781957,0.022881720833758,0.0144054841101531,0.00522575854443776
"d6",0.0314150685053906,0.0261620617252007,0.0141487544514532,0.00525300678018994
"d7",0.0330528033851878,0.0268709080396442,0.00357634116976918,0.00618189534554357
"d8",0.0353619548508418,0.0271406828156438,0.00230620261768384,0.00822127203519804
"d9",0.0359247285567664,0.0279473333775837,0.00214152584009307,0.00797739517918272
"d10",0.0366825177417987,0.0313792187021994,0.038814092585912,0.00530329903959932
"d11",0.0364987192269683,0.0328899481402056,0.0535483095557963,0.0036087710867627
"d12",0.0398871424064399,0.0368243920131906,0.119854915676298,0.00306275039324924
"d13",0.0420400657452651,0.0326094994037565,0.00129811582289609,0.00943056634150863
"d14",0.0430412697061825,0.0336404244526504,0.00167605708001142,0.00940084525353215
"d15",0.042542450788726,0.0371810990465462,0.0233796993982098,0.00536135174217975
"d16",0.0441957872560011,0.0362330782011409,0.00584519801897222,0.00796270905486022
"d17",0.0454823392609326,0.0410769061256073,0.0523737748146817,0.00440543313532538
"d18",0.0469707611874382,0.0385377062746416,0.00652510251820459,0.0084330549127966
"d19",0.0475056165296712,0.0430716509904189,0.0370136910911789,0.00443396553925229
"d20",0.0478501516394729,0.0425646534121935,0.0199936475741929,0.00528549822727947
"d21",0.0488311818833831,0.042541166249031,0.0387727785126648,0.00629001563435218
"d22",0.0498447821677999,0.0459884261254647,0.101269661996317,0.00385635604233518
"d23",0.0503446710146048,0.043216460171379,0.0131600819940999,0.00712821084322578
"d24",0.0527055535165168,0.0492866593219169,0.148259261019198,0.00341889419459993
"d25",0.05187781095103,0.0439179286673172,0.0424611844897711,0.00795988228371276
"d26",0.0522221928209922,0.0460778601700147,0.10947080041811,0.00614433265097752
"d27",0.0560500029049798,0.0487253472930781,0.0654493058993142,0.00732465561190165
"d28",0.0557582752758614,0.0472238841146291,0.0286337446763792,0.00853439116123228
"d29",0.0561276650017609,0.0490863156204797,0.0652140022097892,0.0070413493812812
"d30",0.0555227341005429,0.05268191412556,0.241093196073198,0.00284081997498292
"d31",0.054236040297572,0.0536470847246395,0.433036940328272,0.000588955572932454
"d32",0.0535255477589873,0.0505132902790305,0.212218973752526,0.00301225747995679
"d33",0.0554998227594919,0.0551884810330279,0.432259398463267,0.000311341726463972
"d34",0.0576533155488209,0.0583109284827872,0.163280277545399,-0.00065761293396633
"d35",0.0558506632356933,0.0547986711339758,0.32720229938279,0.00105199210171749
"d36",0.0573366305986183,0.0517439118771732,0.076128291032861,0.00559271872144512
"d37",0.0589928044615698,0.0504016743848356,0.0540611683072976,0.00859113007673419
"d38",0.0588739930531454,0.0575089779942181,0.206107118076875,0.00136501505892732
"d39",0.057012379446506,0.0569439337177725,0.324730226972636,6.84457287335252e-05
"d40",0.0578488413492286,0.0638691073510971,0.53043335555086,-0.00602026600186852
"d41",0.0592042707636164,0.0567263850326301,0.216261350553968,0.00247788573098628
"d42",0.0606039929881978,0.0597806914077438,0.250055127114647,0.000823301580454031
"d43",0.0640689566083321,0.0639122134773446,0.169852951844497,0.000156743130987569
"d44",0.0648897832568335,0.0660118441024149,0.298350994946697,-0.00112206084558139
"d45",0.0649874108333013,0.0573759424706634,0.0701635308505548,0.00761146836263785
"d46",0.0635717859093888,0.0652464284776057,0.361389477019251,-0.00167464256821688
"d47",0.0651673594498686,0.0645224710370706,0.235744809388892,0.000644888412798014
