"","sd.breaking.point","sp500.returns","Pr(>F)","Change in SD"
"d1",0.00988920140285093,0,0,0.00988920140285093
"d2",0.0169605224063075,0.0153986932033812,0.494246481738048,0.0015618292029263
"d3",0.0216558517039415,0.0175531530661705,0.106346480398698,0.00410269863777098
"d4",0.022830947894591,0.0205410318639015,0.533796654131432,0.00228991603068947
"d5",0.0206697563045302,0.0228834040773763,0.461055671243691,-0.00221364777284606
"d6",0.023114481632287,0.0230293769547281,0.886974303305334,8.5104677558831e-05
"d7",0.0236605994589408,0.0270855502753689,0.535442111071755,-0.00342495081642806
"d8",0.0259536449798892,0.0274745934524526,0.680493269421959,-0.00152094847256339
"d9",0.0270453695353013,0.029377507305661,0.88297379414544,-0.00233213777035978
"d10",0.0273249954260588,0.031357247459275,0.719967108169293,-0.00403225203321623
"d11",0.0281851746170256,0.0317341580160811,0.727405924648443,-0.00354898339905551
"d12",0.0277246098627297,0.0322830589304381,0.328776851909655,-0.00455844906770846
"d13",0.0301259106040146,0.0341241421938903,0.612634579253439,-0.00399823158987568
"d14",0.030264673940634,0.0389571334317985,0.301859749726261,-0.00869245949116447
"d15",0.0323836688284816,0.0361324417514224,0.426443249697151,-0.00374877292294075
"d16",0.034734445253306,0.0373395767164929,0.634454896493303,-0.00260513146318685
"d17",0.0352370579155129,0.0387893221439235,0.633161405688577,-0.00355226422841055
"d18",0.0375228997546991,0.0388084222430027,0.697809236381329,-0.00128552248830355
"d19",0.0360447328281523,0.0400145006122725,0.6603048939103,-0.00396976778412015
"d20",0.0376524056788583,0.0432082997877541,0.309538878005173,-0.00555589410889577
"d21",0.0407712257159623,0.0412793105544384,0.964513701917103,-0.000508084838476107
"d22",0.0426684854166902,0.045855607158805,0.857767014339571,-0.00318712174211479
"d23",0.0438638891218689,0.0464008817747321,0.998737044897192,-0.00253699265286325
"d24",0.0483669711457463,0.0458975797939593,0.716412926439113,0.00246939135178694
"d25",0.046804297901611,0.0437779949089243,0.769454957236055,0.00302630299268671
"d26",0.0493617327538679,0.0497762408097307,0.91502134811459,-0.000414508055862801
"d27",0.0509386845265817,0.0505874658042132,0.936909183462401,0.000351218722368554
"d28",0.0504812918937915,0.0506549132935795,0.80578109106315,-0.00017362139978791
"d29",0.0510642734737036,0.0534717252735133,0.47516172922718,-0.00240745179980968
"d30",0.053667852856111,0.0506178035124059,0.740068011006502,0.00305004934370505
"d31",0.0519597602603584,0.0526540949827878,0.604569982314001,-0.000694334722429336
"d32",0.0560514439232609,0.0508864409705348,0.841062092706542,0.00516500295272616
"d33",0.0574049016794272,0.0502981882367404,0.588893276033307,0.00710671344268678
"d34",0.0528542039864847,0.0518982493029785,0.801419775217838,0.000955954683506205
"d35",0.0532892443076971,0.0525030923701658,0.606660036961831,0.000786151937531301
"d36",0.0590692712109458,0.0547269776685582,0.515050510272372,0.00434229354238763
"d37",0.0579730572075758,0.0591591373807293,0.812976278908368,-0.00118608017315346
"d38",0.0598628433991906,0.0549928125742774,0.330257884233276,0.00487003082491325
"d39",0.0589238321178369,0.0565959402116461,0.776038323647573,0.00232789190619086
"d40",0.0615714316603632,0.0611854468128445,0.982259661430558,0.000385984847518707
"d41",0.0641785334938257,0.0626452687932369,0.695597469295209,0.00153326470058882
"d42",0.0657149952551897,0.0577054870292627,0.619703053753666,0.00800950822592703
"d43",0.0690004188109676,0.0600958801527754,0.51984585339205,0.00890453865819212
"d44",0.0680810367778083,0.0612279279592678,0.70704643282906,0.00685310881854047
"d45",0.0644648810869764,0.0614480282194574,0.843157354760171,0.00301685286751902
"d46",0.0663306198542269,0.0686542406349896,0.953242627779272,-0.00232362078076272
"d47",0.0652687077374464,0.0657804833063082,0.944714884686654,-0.000511775568861797
