"","x"
"1",0.227850377584274
"2",0.135655595902773
"3",0.0362014538498667
"4",0.115237218071018
"5",0.0304896711572097
"6",0.0440133037819708
"7",0.248565769870246
"8",0.521493702488321
"9",0.427086922221261
"10",0.334343987349658
"11",0.982207311214657
"12",0.958057450229388
"13",0.780802140310492
"14",0.871145014018159
"15",0.912885205177931
"16",0.540504040259416
"17",0.954728507551072
"18",0.712829367623575
"19",0.947009677774707
"20",0.826367057895982
"21",0.975611002021769
"22",0.81379679051477
"23",0.717070548058041
"24",0.967244288179722
"25",0.465675835539284
"26",0.543337873254785
"27",0.559044086541298
"28",0.90017946158951
"29",0.72674804723295
"30",0.611592907898823
"31",0.601739767912358
"32",0.736168172910449
"33",0.733678930560048
"34",0.740675259153284
"35",0.783486830701284
"36",0.709905142710048
"37",0.635688375751443
"38",0.856219549920135
"39",0.928688343902912
"40",0.374423543635245
"41",0.583059395623922
"42",0.428216320085363
"43",0.967480188509411
"44",0.491329546281234
"45",0.874479439826782
"46",0.612459741358548
"47",0.777899605070232
"48",0.952270756908417
"49",0.898896654770854
"50",0.939923097925386
