"","x"
"1",0.806300199425642
"2",0.494246481738048
"3",0.106346480398698
"4",0.533796654131432
"5",0.461055671243691
"6",0.886974303305334
"7",0.535442111071755
"8",0.680493269421959
"9",0.88297379414544
"10",0.719967108169293
"11",0.727405924648443
"12",0.328776851909655
"13",0.612634579253439
"14",0.301859749726261
"15",0.426443249697151
"16",0.634454896493303
"17",0.633161405688577
"18",0.697809236381329
"19",0.6603048939103
"20",0.309538878005173
"21",0.964513701917103
"22",0.857767014339571
"23",0.998737044897192
"24",0.716412926439113
"25",0.769454957236055
"26",0.91502134811459
"27",0.936909183462401
"28",0.80578109106315
"29",0.47516172922718
"30",0.740068011006502
"31",0.604569982314001
"32",0.841062092706542
"33",0.588893276033307
"34",0.801419775217838
"35",0.606660036961831
"36",0.515050510272372
"37",0.812976278908368
"38",0.330257884233276
"39",0.776038323647573
"40",0.982259661430558
"41",0.695597469295209
"42",0.619703053753666
"43",0.51984585339205
"44",0.70704643282906
"45",0.843157354760171
"46",0.953242627779272
"47",0.944714884686654
"48",0.757326757469369
"49",0.779671490205729
"50",0.855818799622838
