"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"39","19900226","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"40","19900227","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"41","19900228","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"42","19900301","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"43","19900302","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"44","19900305","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"45","19900306","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"46","19900307","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"47","19900308","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"48","19900309","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"49","19900312","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"50","19900313","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"51","19900314","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"52","19900315","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"53","19900316","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"54","19900319","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"55","19900320","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"56","19900321","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"57","19900322","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"58","19900323","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"59","19900326","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"60","19900327","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"61","19900328","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"62","19900329","SSAK90.b01","SSAK90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01"
"63","19900330","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"64","19900402","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"65","19900403","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"66","19900404","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"67","19900405","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
