"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4"
"44","19900305","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"45","19900306","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"46","19900307","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"47","19900308","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"48","19900309","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"49","19900312","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"50","19900313","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"51","19900314","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"52","19900315","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"53","19900316","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"54","19900319","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"55","19900320","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"56","19900321","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"57","19900322","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"58","19900323","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"59","19900326","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"60","19900327","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"61","19900328","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"62","19900329","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"63","19900330","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"64","19900402","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
