"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"48","20020513","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"49","20020514","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"50","20020515","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"51","20020516","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"52","20020517","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"53","20020522","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"54","20020523","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"55","20020524","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"56","20020528","HEM02.b01","HEM02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01"
"57","20020529","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"58","20020530","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"59","20020531","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"60","20020603","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"61","20020604","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"62","20020605","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"63","20020606","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"64","20020607","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"65","20020610","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"66","20020611","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"67","20020612","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"68","20020613","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"69","20020614","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"70","20020617","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"71","20020618","HEN02.b01","HEN02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01"
"72","20020619","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"73","20020620","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"74","20020621","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"75","20020624","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"76","20020625","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"77","20020626","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"78","20020627","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"79","20020628","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"80","20020701","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"81","20020702","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"82","20020703","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"83","20020705","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"84","20020708","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"85","20020709","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"86","20020710","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"87","20020711","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"88","20020712","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"89","20020715","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"90","20020716","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"91","20020717","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"92","20020718","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"93","20020719","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"94","20020722","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"95","20020723","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"96","20020724","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"97","20020725","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"98","20020726","HEQ02.b01","HEQ02.b01","HEV03.b01","HEG03.b01","HEZ03.b01","HEJ03.b01","HEM03.b01"
"99","20021202","HEG03.b01","HEG03.b01","HEJ03.b01","HEM03.b01","HEN03.b01","HEQ03.b01","HEV04.b01"
