,Dates,Daily.Returns,Close,,Dates,Daily.Returns,Close
,,,,,23/07/97,0.003,936.559998
,,,,,24/07/97,0.004,940.299988
,,,,,25/07/97,-0.002,938.789978
,,,,,28/07/97,-0.002,936.450012
,,,,,29/07/97,0.006,942.289978
,,,,,30/07/97,0.011,952.289978
,,,,,31/07/97,0.002,954.309998
,,,,,01/08/97,-0.008,947.140015
,,,,,04/08/97,0.003,950.299988
,,,,,05/08/97,0.002,952.369995
,,,,,06/08/97,0.008,960.320007
,,,,,07/08/97,-0.01,951.190002
,,,,,08/08/97,-0.019,933.539978
,,,,,11/08/97,0.004,937
,,,,,12/08/97,-0.011,926.530029
,,,,,13/08/97,-0.005,922.02002
,,,,,14/08/97,0.003,924.77002
,,,,,15/08/97,-0.026,900.809998
,,,,,18/08/97,0.013,912.48999
,,,,,19/08/97,0.015,926.01001
,,,,,20/08/97,0.014,939.349976
,,,,,21/08/97,-0.015,925.049988
,,,,,22/08/97,-0.002,923.539978
,,,,,25/08/97,-0.004,920.159973
,,,,,26/08/97,-0.008,913.02002
,,,,,27/08/97,0.001,913.700012
,,,,,28/08/97,-0.011,903.669983
,,,,,29/08/97,-0.005,899.469971
,,,,,02/09/97,0.031,927.580017
,,,,,03/09/97,0,927.859985
,,,,,04/09/97,0.003,930.869995
,,,,,05/09/97,-0.002,929.049988
,,,,,08/09/97,0.002,931.200012
,,,,,09/09/97,0.003,933.619995
,,,,,10/09/97,-0.016,919.030029
,,,,,11/09/97,-0.007,912.590027
,,,,,12/09/97,0.012,923.909973
,,,,,15/09/97,-0.004,919.77002
,,,,,16/09/97,0.028,945.640015
,,,,,17/09/97,-0.003,943
,,,,,18/09/97,0.005,947.289978
,,,,,19/09/97,0.003,950.51001
,,,,,22/09/97,0.005,955.429993
,,,,,23/09/97,-0.004,951.929993
,,,,,24/09/97,-0.008,944.47998
,,,,,25/09/97,-0.007,937.909973
,,,,,26/09/97,0.008,945.219971
,,,,,29/09/97,0.009,953.340027
,,,,,30/09/97,-0.006,947.280029
,,,,,01/10/97,0.009,955.409973
,,,,,02/10/97,0.005,960.460022
,,,,,03/10/97,0.005,965.030029
,,,,,06/10/97,0.008,972.690002
,,,,,07/10/97,0.011,983.119995
,,,,,08/10/97,-0.009,973.840027
,,,,,09/10/97,-0.003,970.619995
,,,,,10/10/97,-0.004,966.97998
,,,,,13/10/97,0.001,968.099976
,,,,,14/10/97,0.002,970.280029
,,,,,15/10/97,-0.005,965.719971
,,,,,16/10/97,-0.011,955.25
,,,,,17/10/97,-0.012,944.159973
,,,,,20/10/97,0.012,955.609985
,,,,,21/10/97,0.017,972.280029
,,,,,22/10/97,-0.004,968.48999
,,,,,23/10/97,-0.018,950.690002
,,,,,24/10/97,-0.01,941.640015
,,,,,27/10/97,-0.069,876.98999
,,,,,28/10/97,0.051,921.849976
,,,,,29/10/97,-0.003,919.159973
,,,,,30/10/97,-0.017,903.679993
,,,,,31/10/97,0.012,914.619995
,,,,,03/11/97,0.027,938.98999
,,,,,04/11/97,0.002,940.76001
,,,,,05/11/97,0.002,942.76001
,,,,,06/11/97,-0.005,938.030029
,,,,,07/11/97,-0.011,927.51001
,,,,,10/11/97,-0.007,921.130005
,,,,,11/11/97,0.003,923.780029
,,,,,12/11/97,-0.019,905.960022
,,,,,13/11/97,0.012,916.659973
,,,,,14/11/97,0.013,928.349976
,,,,,17/11/97,0.019,946.200012
,,,,,18/11/97,-0.008,938.22998
,,,,,19/11/97,0.007,944.590027
,,,,,20/11/97,0.015,958.97998
,,,,,21/11/97,0.004,963.090027
,,,,,24/11/97,-0.017,946.669983
,,,,,25/11/97,0.004,950.820007
,,,,,26/11/97,0.001,951.640015
,,,,,28/11/97,0.004,955.400024
,,,,,01/12/97,0.02,974.77002
,,,,,02/12/97,-0.003,971.679993
,,,,,03/12/97,0.005,976.77002
,,,,,04/12/97,-0.004,973.099976
,,,,,05/12/97,0.011,983.789978
,,,,,08/12/97,-0.001,982.369995
,,,,,09/12/97,-0.007,975.780029
,,,,,10/12/97,-0.006,969.789978
,,,,,11/12/97,-0.015,954.940002
,,,,,12/12/97,-0.002,953.390015
,,,,,15/12/97,0.01,963.390015
,,,,,16/12/97,0.005,968.039978
,,,,,17/12/97,-0.003,965.539978
,,,,,18/12/97,-0.011,955.299988
,,,,,19/12/97,-0.009,946.780029
,,,,,22/12/97,0.007,953.700012
,,,,,23/12/97,-0.015,939.130005
,,,,,24/12/97,-0.007,932.700012
,,,,,26/12/97,0.004,936.460022
,,,,,29/12/97,0.018,953.349976
,,,,,30/12/97,0.018,970.840027
,,,,,31/12/97,0,970.429993
,,,,,02/01/98,0.005,975.039978
,,,,,05/01/98,0.002,977.070007
,,,,,06/01/98,-0.011,966.580017
,,,,,07/01/98,-0.003,964
,,,,,08/01/98,-0.008,956.049988
,,,,,09/01/98,-0.03,927.690002
,,,,,12/01/98,0.012,939.210022
,,,,,13/01/98,0.014,952.119995
,,,,,14/01/98,0.006,957.940002
,,,,,15/01/98,-0.008,950.72998
,,,,,16/01/98,0.011,961.51001
,,,,,20/01/98,0.018,978.599976
,,,,,21/01/98,-0.008,970.809998
,,,,,22/01/98,-0.008,963.039978
,,,,,23/01/98,-0.006,957.590027
,,,,,26/01/98,-0.001,956.950012
,,,,,27/01/98,0.013,969.02002
,,,,,28/01/98,0.009,977.460022
,,,,,29/01/98,0.008,985.48999
,,,,,30/01/98,-0.005,980.280029
,,,,,02/02/98,0.021,1001.27002
,,,,,03/02/98,0.005,1006
,,,,,04/02/98,0.001,1006.900024
,,,,,05/02/98,-0.003,1003.539978
,,,,,06/02/98,0.009,1012.460022
,,,,,09/02/98,-0.002,1010.73999
,,,,,10/02/98,0.008,1019.01001
,,,,,11/02/98,0.001,1020.01001
,,,,,12/02/98,0.004,1024.140015
,,,,,13/02/98,-0.004,1020.090027
,,,,,17/02/98,0.003,1022.76001
,,,,,18/02/98,0.009,1032.079956
,,,,,19/02/98,-0.004,1028.280029
,,,,,20/02/98,0.006,1034.209961
,,,,,23/02/98,0.004,1038.140015
,,,,,24/02/98,-0.007,1030.560059
,,,,,25/02/98,0.012,1042.900024
,,,,,26/02/98,0.006,1048.670044
,,,,,27/02/98,0.001,1049.339966
,,,,,02/03/98,-0.002,1047.699951
,,,,,03/03/98,0.004,1052.02002
,,,,,04/03/98,-0.004,1047.329956
,,,,,05/03/98,-0.012,1035.050049
,,,,,06/03/98,0.02,1055.689941
,,,,,09/03/98,-0.003,1052.310059
,,,,,10/03/98,0.011,1064.25
,,,,,11/03/98,0.004,1068.469971
,,,,,12/03/98,0.001,1069.920044
,,,,,13/03/98,-0.001,1068.609985
,,,,,16/03/98,0.01,1079.27002
,,,,,17/03/98,0.001,1080.449951
,,,,,18/03/98,0.005,1085.52002
,,,,,19/03/98,0.004,1089.73999
,,,,,20/03/98,0.009,1099.160034
,,,,,23/03/98,-0.003,1095.550049
