"","Dates","Daily.Returns","X200.MA","Close","X200.D.MA.Price","X50.D.MA.Price","X100.D.MA.Price"
"1358","14/06/1996",-0.003,0.0688,665.849976,622.997,657.4763977,651.2400995
"1362","20/06/1996",0,0.0594,662.099976,624.993,658.6135975,653.0763989
"1366","26/06/1996",-0.006,0.0598,664.390015,626.889,661.0613965,654.4505981
"1415","05/09/1996",-0.009,0.0087,649.440002,643.854,654.6188012,657.580199
"1419","11/09/1996",0.005,0.0345,667.280029,645.041,653.8316015,658.1799994
"1423","17/09/1996",-0.002,0.0564,682.940002,646.451,654.3040014,659.2623993
"1427","23/09/1996",-0.001,0.0597,686.47998,647.831,656.8124023,660.4601996
"1431","27/09/1996",0,0.057,686.190002,649.19,660.9194018,662.093999
"1476","02/12/1996",-0.001,0.129,756.559998,670.135,713.0238037,684.5045025
"1480","06/12/1996",-0.006,0.1004,739.599976,672.128,718.0112036,688.9474029
"1484","12/12/1996",-0.015,0.082,729.299988,674.009,722.5946021,693.2224023
"1488","18/12/1996",0.008,0.0828,731.539978,675.577,724.8619995,697.0661017
"1492","24/12/1996",0.006,0.1085,751.030029,677.546,728.4707996,701.2356012
"1496","31/12/1996",-0.017,0.0896,740.73999,679.844,732.4704004,704.9179016
"1541","06/03/1997",-0.004,0.1257,798.559998,709.362,778.3894006,752.9675
"1545","12/03/1997",-0.009,0.1296,804.26001,711.976,782.7486011,757.1409009
"1549","18/03/1997",-0.008,0.1052,789.659973,714.484,786.8100012,760.6256012
"1553","24/03/1997",0.009,0.1035,790.890015,716.737,789.570802,763.9700012
"1557","31/03/1997",-0.022,0.053,757.119995,719.031,791.3562024,767.2990009
"1602","03/06/1997",-0.001,0.1252,845.47998,751.372,796.6652026,792.8255023
"1606","09/06/1997",0.006,0.1429,862.909973,754.995,801.314602,796.2686023
"1610","13/06/1997",0.011,0.1768,893.27002,759.061,810.1238025,800.1825025
"1614","19/06/1997",0.01,0.1757,897.98999,763.769,820.8074024,804.718703
"1618","25/06/1997",-0.008,0.1568,888.98999,768.505,832.2340027,809.568103
"1667","04/09/1997",0.003,0.131,930.869995,823.074,922.716399,875.9491004
"1671","10/09/1997",-0.016,0.1115,919.030029,826.868,926.0849988,882.9590003
"1675","16/09/1997",0.028,0.1391,945.640015,830.161,927.6485987,888.9624005
"1679","22/09/1997",0.005,0.1455,955.429993,834.058,930.3319983,895.7912006
"1683","26/09/1997",0.008,0.1278,945.219971,838.101,932.1787964,901.2573999
"1728","01/12/1997",0.02,0.1087,974.77002,879.174,946.0464001,937.8218994
"1732","05/12/1997",0.011,0.1148,983.789978,882.455,947.9258008,940.0390991
"1736","11/12/1997",-0.015,0.078,954.940002,885.865,950.4854004,942.1919989
"1740","17/12/1997",-0.003,0.0858,965.539978,889.203,950.2088,943.0932996
"1744","23/12/1997",-0.015,0.0526,939.130005,892.214,948.7440002,943.4531
"1748","30/12/1997",0.018,0.0847,970.840027,895.031,946.789801,942.9682001
"1789","02/03/1998",-0.002,0.1168,1047.699951,938.095,984.2110047,967.2564026
"1793","06/03/1998",0.02,0.1203,1055.689941,942.3,991.1398047,970.0747022
"1797","12/03/1998",0.001,0.1302,1069.920044,946.685,1000.714403,973.7711023
"1801","18/03/1998",0.005,0.1412,1085.52002,951.23,1009.286204,978.4806024
"1805","24/03/1998",0.009,0.1563,1105.650024,956.203,1019.411605,984.8022034
